Row,scenario,fracPos,fracNeg,rho_sign,FDRmethod,numTests,numRealizations,effectSize,CImethod,q,alpha,seed,BothSides_canonical_mean,BothSides_canonical_lower,BothSides_canonical_upper,BothSides_combined_mean,BothSides_combined_lower,BothSides_combined_upper,BothSides_twotailed_mean,BothSides_twotailed_lower,BothSides_twotailed_upper,BothSides_split2tail_mean,BothSides_split2tail_lower,BothSides_split2tail_upper,BothSides_old_mean,BothSides_old_lower,BothSides_old_upper,BothSides_question11_mean,BothSides_question11_lower,BothSides_question11_upper,BothSides_question12_mean,BothSides_question12_lower,BothSides_question12_upper,PosSide_canonical_mean,PosSide_canonical_lower,PosSide_canonical_upper,PosSide_combined_mean,PosSide_combined_lower,PosSide_combined_upper,PosSide_twotailed_mean,PosSide_twotailed_lower,PosSide_twotailed_upper,PosSide_split2tail_mean,PosSide_split2tail_lower,PosSide_split2tail_upper,PosSide_old_mean,PosSide_old_lower,PosSide_old_upper,PosSide_question11_mean,PosSide_question11_lower,PosSide_question11_upper,PosSide_question12_mean,PosSide_question12_lower,PosSide_question12_upper,NegSide_canonical_mean,NegSide_canonical_lower,NegSide_canonical_upper,NegSide_combined_mean,NegSide_combined_lower,NegSide_combined_upper,NegSide_twotailed_mean,NegSide_twotailed_lower,NegSide_twotailed_upper,NegSide_split2tail_mean,NegSide_split2tail_lower,NegSide_split2tail_upper,NegSide_old_mean,NegSide_old_lower,NegSide_old_upper,NegSide_question11_mean,NegSide_question11_lower,NegSide_question11_upper,NegSide_question12_mean,NegSide_question12_lower,NegSide_question12_upper,elapsed
bky_indep_balanced,4,0.25,0.25,0,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.0315852927144858,0.0313155540691439,0.0318550313598278,0.0315080603914101,0.0312395487741512,0.031776572008669,0.0428644054764845,0.0425503975545996,0.0431784133983695,0.042940678224639,0.0426261989490361,0.043255157500242,0.0159122943796606,0.0157134169402364,0.0161111718190848,0.0201772158487184,0.0199523331634621,0.0204020985339748,0.0159468373088848,0.015747949613057,0.0161457250047126,0.0308160932434242,0.0304315966062163,0.031200589880632,0.0308054365761613,0.0304293508488917,0.031181522303431,0.0419747768797789,0.0415513559198269,0.042398197839731,0.0419421554093048,0.0415042528303328,0.0423800579882769,0.0149790618056433,0.0146941408132375,0.0152639827980492,0.0193270752077198,0.019013115252304,0.0196410351631356,0.0150198088774219,0.0147347509045251,0.0153048668503186,0.0322587338850306,0.0318791610742397,0.0326383066958215,0.032162214996372,0.0317888426386359,0.032535587354108,0.0436860910078083,0.0432522023947491,0.0441199796208676,0.0437835638275212,0.0433378190707511,0.0442293085842912,0.0167831000963632,0.0164908820859571,0.0170753181067693,0.0209375462412705,0.0206127654749771,0.0212623270075639,0.0168113859920877,0.0165188243983362,0.0171039475858393,109.989015958333
bky_indep_negonly,3,0,0.25,0,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.0486437745630985,0.0481721788876824,0.0491153702385146,0.0428246478971838,0.0423446717040506,0.0433046240903171,0.0471081620270986,0.0466084167461308,0.0476079073080663,0.0453912067078524,0.0449286787453161,0.0458537346703888,0.0245824397474548,0.0242276181807312,0.0249372613141784,0.022398380788286,0.0220556588516939,0.0227411027248781,0.0246416878695132,0.0242868142925426,0.0249965614464838,0.042,0.033206756621173,0.050793243378827,0.9985,0.996803470725234,1.00019652927477,0.9995,0.99852001800773,1.00047998199227,0.052,0.0422669818229962,0.0617330181770038,0.023,0.0164286758008165,0.0295713241991835,0.029,0.0216438545484803,0.0363561454515197,0.023,0.0164286758008165,0.0295713241991835,0.0485428456066397,0.0480714061052796,0.0490142851079997,0.0228478148738627,0.0225042122387239,0.0231914175090016,0.0251236022479287,0.0247648344282047,0.0254823700676528,0.045260521134074,0.0447978953622867,0.0457231469058612,0.0245152199005527,0.0241608996456381,0.0248695401554674,0.0223101901006385,0.0219680279737297,0.0226523522275473,0.0245744860178576,0.024220107380744,0.0249288646549712,91.4686265833333
bky_indep_null,1,0,0,0,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.1025,0.089204004627724,0.115795995372276,0.053,0.043179024711744,0.062820975288256,0.053,0.043179024711744,0.062820975288256,0.102,0.0887327794681602,0.11526722053184,0.052,0.0422669818229962,0.0617330181770038,0.052,0.0422669818229962,0.0617330181770038,0.052,0.0422669818229962,0.0617330181770038,0.0465,0.0372694300216792,0.0557305699783208,0.026,0.0190239779222221,0.0329760220777779,0.026,0.0190239779222221,0.0329760220777779,0.046,0.0368167840507121,0.0551832159492879,0.0235,0.0168593322956142,0.0301406677043858,0.0235,0.0168593322956142,0.0301406677043858,0.0235,0.0168593322956142,0.0301406677043858,0.06,0.0495892684979019,0.0704107315020981,0.031,0.0234022599686349,0.0385977400313651,0.031,0.0234022599686349,0.0385977400313651,0.06,0.0495892684979019,0.0704107315020981,0.029,0.0216438545484802,0.0363561454515198,0.029,0.0216438545484802,0.0363561454515198,0.029,0.0216438545484802,0.0363561454515198,96.6532540833333
bky_indep_posonly,2,0.25,0,0,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.0464192268021244,0.0459473116423481,0.0468911419619008,0.040881744373259,0.0404024383210061,0.0413610504255119,0.0451797219509736,0.0446817262203469,0.0456777176816003,0.0430530059772481,0.0425959507797921,0.0435100611747041,0.0223780452740239,0.0220292995050798,0.0227267910429681,0.0201741585009544,0.0198416413348705,0.0205066756670384,0.0224335645089707,0.022084254619216,0.0227828743987254,0.0463259669991253,0.0458548915981917,0.0467970424000589,0.0207404425568018,0.0204033429130692,0.0210775422005344,0.0229377355082811,0.0225852638803832,0.023290207136179,0.0429310499168927,0.0424757024142728,0.0433863974195127,0.022321879080301,0.0219742723356121,0.0226694858249899,0.0201014673035184,0.0197701609431811,0.0204327736638557,0.0223774850900077,0.0220293578561933,0.0227256123238221,0.0385,0.0300657454713175,0.0469342545286825,1,1,1,1,1,1,0.048,0.0386291111459918,0.0573708888540082,0.019,0.0130151537470212,0.0249848462529788,0.024,0.0172907770536193,0.0307092229463807,0.019,0.0130151537470212,0.0249848462529788,92.02567925
bky_indep_unbalanced,5,0.1,0.4,0,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.0369974326808999,0.0367127188565627,0.0372821465052371,0.0318173363917428,0.0315504122988387,0.032084260484647,0.0428691987132177,0.0425605032360334,0.043177894190402,0.0423117106600301,0.042006412102655,0.0426170092174052,0.0182237633387306,0.0180059015904424,0.0184416250870188,0.0196568134727434,0.019434183673115,0.0198794432723719,0.0183037972093159,0.0180863386338511,0.0185212557847807,0.0267589265323014,0.0261184866655995,0.0273993663990033,0.0735155033181181,0.0726468244413433,0.0743841821948929,0.0986864857280516,0.0977364855171611,0.099636485938942,0.0446460504719158,0.0438740335551398,0.0454180673886918,0.0129319090746717,0.0124247042210272,0.0134391139283163,0.0212166162134771,0.0206185621768217,0.0218146702501326,0.0129345369797361,0.0124272630634186,0.0134418108960537,0.0387463399645309,0.0384277991481578,0.039064880780904,0.0207286506625259,0.0204864629739877,0.020970838351064,0.02772410050134,0.0274488100631033,0.0279993909395767,0.0417450190189688,0.0414104754072,0.0420795626307376,0.0190486236341737,0.0188113876227447,0.0192858596456026,0.0193025820455174,0.0190636778710578,0.0195414862199769,0.0191403317760435,0.0189035253831553,0.0193771381689317,109.423943083333
bky_posdep_balanced,9,0.25,0.25,1,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.031744594045122,0.0314703782777763,0.0320188098124677,0.031665237893695,0.0313912002954716,0.0319392754919184,0.0427310856077854,0.0424162025239914,0.0430459686915794,0.0428003744750504,0.04248580495306,0.0431149439970408,0.0159480796459908,0.0157401704678509,0.0161559888241308,0.0202275683561193,0.0199937447677989,0.0204613919444397,0.0159876438068499,0.0157793661113768,0.0161959215023231,0.0306970201097803,0.0302967416753525,0.0310972985442082,0.0306800750779653,0.0302928300348849,0.0310673201210456,0.0417708977403598,0.0413268328652798,0.0422149626154398,0.0418487048707916,0.04138999540388,0.0423074143377032,0.0148474678779398,0.0145581211944007,0.0151368145614788,0.0191394227005747,0.01880834464245,0.0194705007586995,0.0148788098619947,0.0145884925618816,0.0151691271621078,0.0326320007565432,0.0322419303858565,0.03302207112723,0.032560474164901,0.0321810819524389,0.032939866377363,0.0435695251446062,0.0431301249840483,0.0440089253051641,0.0435514615384185,0.0431032601429956,0.0439996629338414,0.0169509220781105,0.0166468767510286,0.0172549674051925,0.0211930966389522,0.0208588472234545,0.02152734605445,0.0169976534962113,0.0166929583415525,0.0173023486508702,109.897135541667
bky_posdep_negonly,8,0,0.25,1,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.048372449452449,0.0478700736888827,0.0488748252160153,0.0427160765096428,0.0422287148018711,0.0432034382174144,0.0470330016466474,0.0465223308506101,0.0475436724426846,0.0450728617635973,0.0445963211208588,0.0455494024063358,0.0246366575438474,0.0242623706092078,0.0250109444784871,0.0223320802462115,0.0219756384907724,0.0226885220016505,0.0247094316395824,0.0243345803587884,0.0250842829203764,0.037,0.02872523441463,0.04527476558537,0.9985,0.996803470725234,1.00019652927477,0.9995,0.99852001800773,1.00047998199227,0.0515,0.0418113341900512,0.0611886658099488,0.0155,0.0100847887505674,0.0209152112494326,0.0225,0.015998832792771,0.029001167207229,0.0155,0.0100847887505674,0.0209152112494326,0.0482792617879663,0.0477766993316116,0.048781824244321,0.0228849518735299,0.0225262123112152,0.0232436914358446,0.0252169077584555,0.024839761545531,0.0255940539713801,0.0449384714015485,0.0444618127150955,0.0454151300880016,0.0245929664442621,0.0242186395942441,0.0249672932942801,0.0222638093210065,0.0219074392124116,0.0226201794296014,0.0246657703659768,0.024290895475639,0.0250406452563146,90.38755075
bky_posdep_null,6,0,0,1,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.103,0.0896753279817636,0.116324672018236,0.049,0.039536974890931,0.058463025109069,0.049,0.039536974890931,0.058463025109069,0.1025,0.089204004627724,0.115795995372276,0.0485,0.0390829048275443,0.0579170951724557,0.05,0.0404459282431492,0.0595540717568508,0.0485,0.0390829048275443,0.0579170951724557,0.0525,0.0427228797876995,0.0622771202123005,0.028,0.0207680761900444,0.0352319238099556,0.028,0.0207680761900444,0.0352319238099556,0.052,0.0422669818229962,0.0617330181770038,0.0275,0.0203310946602808,0.0346689053397192,0.0275,0.0203310946602808,0.0346689053397192,0.0275,0.0203310946602808,0.0346689053397192,0.0535,0.0436354133014014,0.0633645866985986,0.024,0.0172907770536193,0.0307092229463807,0.024,0.0172907770536193,0.0307092229463807,0.0535,0.0436354133014014,0.0633645866985986,0.022,0.0155698298983,0.0284301701017,0.0235,0.0168593322956142,0.0301406677043858,0.022,0.0155698298983,0.0284301701017,95.86147825
bky_posdep_posonly,7,0.25,0,1,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.0468107875438219,0.0463170290780223,0.0473045460096215,0.0410113035726294,0.0405340746611056,0.0414885324841533,0.0452415835575669,0.0447442278189974,0.0457389392961365,0.0433567133489899,0.0428804061108511,0.0438330205871287,0.0228046688029444,0.0224464535649496,0.0231628840409392,0.0205371817891236,0.02019168977939,0.0208826737988573,0.0228537154568734,0.0224949619441662,0.0232124689695807,0.0467289916253578,0.0462355184555267,0.0472224647951889,0.0210735103134196,0.020724852937895,0.0214221676889442,0.0233100512925429,0.0229472180777945,0.0236728845072913,0.0432342732367526,0.0427589617900933,0.043709584683412,0.0227600105723716,0.0224021638691215,0.0231178572756217,0.0204658147010283,0.0201209473331614,0.0208106820688953,0.0228090899105474,0.0224506886846787,0.0231674911364161,0.033,0.0251690959817875,0.0408309040182125,1,1,1,1,1,1,0.047,0.0377223694709817,0.0562776305290183,0.0155,0.0100847887505674,0.0209152112494326,0.023,0.0164286758008165,0.0295713241991835,0.0155,0.0100847887505674,0.0209152112494326,91.5535533333333
bky_posdep_unbalanced,10,0.1,0.4,1,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.0369360320385952,0.0366378293857678,0.0372342346914225,0.0315727964483904,0.031303970981567,0.0318416219152138,0.0427192603772456,0.0424115135240643,0.0430270072304269,0.0422911582396123,0.0419721234360744,0.0426101930431503,0.0180743752281447,0.0178548724339653,0.018293878022324,0.0194139405294679,0.0191891356441082,0.0196387454148277,0.0181716508136959,0.0179510499975227,0.0183922516298691,0.0263614828098243,0.0257258956314964,0.0269970699881522,0.0730377585350566,0.0721817307757491,0.0738937862943641,0.0979719999820457,0.0970056765082843,0.0989383234558072,0.0441796334349945,0.0434120129546319,0.044947253915357,0.0131261212384544,0.0126178517686879,0.0136343907082208,0.0210509627134939,0.0204581844527419,0.0216437409742458,0.0131239308037336,0.0126156756044524,0.0136321860030149,0.038734254083693,0.0383959124700771,0.0390725956973088,0.0205276183204536,0.0202774743202586,0.0207777623206486,0.0277078761640134,0.0274211750595479,0.0279945772684788,0.0418094569255966,0.0414536304492455,0.0421652834019476,0.0188375894409506,0.0185932652428281,0.0190819136390732,0.0190420091943638,0.0187944167490294,0.0192896016396982,0.0189500386344817,0.0187047008044723,0.0191953764644911,110.349146291667
